Unique_Key,Created_Date,Closed_Date,Agency,Complaint_Type,Descriptor,Borough,Incident_Zip,Status,Open_Data_Channel_Type
63585643,2025-01-01T13:14:44.000,,DPR,Overgrown Tree/Branches,Dead Branches in Tree,BROOKLYN,11207.0,In Progress,PHONE
63585673,2025-01-01T15:09:07.000,,DOHMH,Food Poisoning,1 or 2,QUEENS,11103.0,In Progress,ONLINE
63585705,2025-01-01T15:24:48.000,,DOHMH,Food Poisoning,1 or 2,MANHATTAN,10036.0,In Progress,ONLINE
63585862,2025-01-01T08:35:00.000,,DEP,Sewer,Defective/Missing Curb Piece (SC4),QUEENS,11432.0,Started,ONLINE
63585989,2025-01-01T10:28:20.000,,DPR,Overgrown Tree/Branches,Hitting Power Lines,BROOKLYN,11234.0,In Progress,UNKNOWN
63586233,2025-01-01T08:09:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10454.0,Assigned,UNKNOWN
63586405,2025-01-01T21:12:27.000,,TLC,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,MANHATTAN,10018.0,In Progress,ONLINE
63586884,2025-01-01T08:09:54.000,,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,BROOKLYN,11230.0,In Progress,ONLINE
63586943,2025-01-01T19:07:18.000,,TLC,Found Property,Bag/Wallet,QUEENS,11430.0,In Progress,PHONE
63587016,2025-01-01T10:04:09.000,,DPR,Maintenance or Facility,Structure - Outdoors,QUEENS,11372.0,In Progress,MOBILE
63587060,2025-01-01T20:59:24.000,,DOHMH,Food Poisoning,1 or 2,BROOKLYN,11209.0,In Progress,ONLINE
63587061,2025-01-01T16:24:47.000,,DOHMH,Indoor Air Quality,Chemical Vapors/Gases/Odors,BROOKLYN,11221.0,In Progress,PHONE
63587953,2025-01-01T13:14:48.000,2025-01-01T13:14:48.000,DOB,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,QUEENS,11104.0,Open,UNKNOWN
63588174,2025-01-01T14:21:22.000,,DPR,Overgrown Tree/Branches,Dead Branches in Tree,BROOKLYN,11210.0,In Progress,ONLINE
63588542,2025-01-01T18:17:00.000,,DEP,Water System,Possible Water Main Break (Use Comments) (WA1),MANHATTAN,10002.0,Started,PHONE
63589014,2025-01-01T12:19:33.000,2025-01-01T12:19:33.000,DOB,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,STATEN ISLAND,10310.0,Open,UNKNOWN
63589047,2025-01-01T15:08:46.000,,TLC,Taxi Report,Driver Report - Non Passenger,BRONX,10456.0,In Progress,ONLINE
63589078,2025-01-01T00:17:01.000,2025-01-01T00:17:01.000,DOB,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,STATEN ISLAND,10314.0,Open,UNKNOWN
63589723,2025-01-01T16:47:03.000,,DPR,Illegal Tree Damage,Roots Damaged,BRONX,10459.0,In Progress,MOBILE
63589726,2025-01-01T19:57:13.000,,DOHMH,Unleashed Dog,Unleashed Dog in Public,BROOKLYN,11204.0,In Progress,ONLINE
63590116,2025-01-01T21:10:47.000,,TLC,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,MANHATTAN,10018.0,In Progress,ONLINE
63590535,2025-01-01T09:21:59.000,,DSNY,Lot Condition,Trash,BROOKLYN,11213.0,In Progress,ONLINE
63590645,2025-01-01T21:23:13.000,,DOHMH,Food Poisoning,3 or More,MANHATTAN,10013.0,In Progress,ONLINE
63590678,2025-01-01T11:54:00.000,,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,BROOKLYN,11230.0,In Progress,ONLINE
63590945,2025-01-01T19:53:17.000,,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,QUEENS,11365.0,In Progress,ONLINE
