Unique_Key,Created_Date,Closed_Date,Agency,Complaint_Type,Descriptor,Borough,Incident_Zip,Status,Open_Data_Channel_Type,Resolution_Days
63582124,2025-01-01 01:37:39,2025-01-27 11:01:44,DCWP,Consumer Complaint,Department Store or Megastore,Staten Island,10314.0,Closed,Online,26
63585731,2025-01-01 18:48:58,2025-02-27 23:00:48,DCWP,Consumer Complaint,Tow Truck Company,Brooklyn,11223.0,Closed,Online,57
63585882,2025-01-01 12:33:50,2025-01-02 08:48:27,DCWP,Consumer Complaint,"Barber Shop, Beauty Salon, or Nail Salon",Brooklyn,11223.0,Closed,Online,0
63586718,2025-01-01 15:36:31,2025-02-01 04:01:54,DCWP,Consumer Complaint,Other Store (Non-Food),Bronx,10454.0,Closed,Online,30
63587770,2025-01-01 19:59:16,2025-01-02 09:36:50,DCWP,Consumer Complaint,Restaurant,Manhattan,10017.0,Closed,Online,0
63588986,2025-01-01 22:25:25,2025-01-10 09:14:46,DCWP,Consumer Complaint,Restaurant,Bronx,10475.0,Closed,Online,8
63588990,2025-01-01 19:43:33,2025-01-02 08:54:29,DCWP,Consumer Complaint,Restaurant,Brooklyn,11224.0,Closed,Phone,0
63589045,2025-01-01 05:17:07,2025-01-02 12:02:14,DCWP,Consumer Complaint,Tour Guide,Bronx,10458.0,Closed,Online,1
63589180,2025-01-01 11:40:56,2025-01-09 15:37:25,DCWP,Consumer Complaint,"Bodega, Deli, or Convenience Store",Staten Island,10301.0,Closed,Phone,8
63590368,2025-01-01 14:13:04,2025-01-02 10:33:02,DCWP,Consumer Complaint,Restaurant,Bronx,10453.0,Closed,Phone,0
63590421,2025-01-01 14:59:56,2025-01-02 12:23:19,DCWP,Consumer Complaint,Other Store (Non-Food),Queens,11377.0,Closed,Online,0
63591529,2025-01-02 00:10:31,2025-01-03 12:13:00,DCWP,Consumer Complaint,Garage or Parking Lot,Brooklyn,11206.0,Closed,Online,1
63592822,2025-01-01 12:46:27,2025-02-01 04:01:54,DCWP,Consumer Complaint,Supermarket or Grocery Store,Brooklyn,11225.0,Closed,Online,30
63592829,2025-01-01 12:45:49,2025-01-02 10:29:58,DCWP,Consumer Complaint,Ticket Seller,Manhattan,10004.0,Closed,Online,0
63595217,2025-01-01 11:48:38,2025-01-02 10:11:37,DCWP,Consumer Complaint,Used Car Dealer,Bronx,10475.0,Closed,Phone,0
63595326,2025-01-01 16:20:34,2025-02-01 04:01:54,DCWP,Consumer Complaint,Gas Station Pumps,Brooklyn,11220.0,Closed,Phone,30
63595484,2025-01-01 09:44:35,2025-01-10 16:07:35,DCWP,Consumer Complaint,Stoop Line Stand,Queens,11354.0,Closed,Online,9
63595518,2025-01-02 23:18:25,2025-02-02 04:02:11,DCWP,Consumer Complaint,Street Fair Vendor,Manhattan,10019.0,Closed,Online,30
63595519,2025-01-02 14:46:56,2025-02-02 04:02:24,DCWP,Consumer Complaint,Storage Warehouse,Bronx,10460.0,Closed,Phone,30
63595527,2025-01-02 12:33:06,2025-01-03 08:47:23,DCWP,Consumer Complaint,Tow Truck Company,Bronx,10472.0,Closed,Phone,0
63595532,2025-01-02 11:32:28,2025-01-03 12:28:54,DCWP,Consumer Complaint,"Bodega, Deli, or Convenience Store",Queens,11103.0,Closed,Phone,1
63595536,2025-01-03 00:54:02,2025-01-03 08:59:27,DCWP,Consumer Complaint,Tobacco Sales,Brooklyn,11236.0,Closed,Phone,0
63595540,2025-01-02 10:43:43,2025-01-03 12:25:53,DCWP,Consumer Complaint,Shipping Company,Brooklyn,11236.0,Closed,Online,1
63595549,2025-01-02 23:12:38,2025-01-03 09:41:39,DCWP,Consumer Complaint,Tobacco Sales,Manhattan,10027.0,Closed,Phone,0
63595551,2025-01-02 10:04:20,2025-01-03 10:09:51,DCWP,Consumer Complaint,Laundromat,Brooklyn,11216.0,Closed,Online,1
63595770,2025-01-02 15:48:29,2025-01-03 12:22:09,DCWP,Consumer Complaint,Other Store (Non-Food),Brooklyn,11225.0,Closed,Online,0
63595771,2025-01-02 10:32:43,2025-02-02 04:01:43,DCWP,Consumer Complaint,Home Improvement Contractor,Staten Island,10314.0,Closed,Phone,30
63595868,2025-01-02 14:03:18,2025-01-03 10:15:51,DCWP,Consumer Complaint,Used Car Dealer,Staten Island,10305.0,Closed,Phone,0
63597382,2025-01-02 08:11:12,2025-01-17 12:31:45,DCWP,Consumer Complaint,E-Cigarette Sales,Bronx,10460.0,Closed,Phone,15
63597711,2025-01-02 12:05:47,2025-02-02 04:01:43,DCWP,Consumer Complaint,Tour Guide,Manhattan,10014.0,Closed,Online,30
63597717,2025-01-02 08:00:42,2025-01-03 09:44:48,DCWP,Consumer Complaint,Tobacco Sales,Bronx,10455.0,Closed,Online,1
63597718,2025-01-02 22:19:35,2025-01-03 09:47:58,DCWP,Consumer Complaint,Tobacco Sales,Queens,11412.0,Closed,Phone,0
63597722,2025-01-02 09:27:31,2025-02-02 04:01:49,DCWP,Consumer Complaint,Gas Station Pumps,Queens,11101.0,Closed,Online,30
63597829,2025-01-02 15:53:00,2025-01-13 09:21:26,DCWP,Consumer Complaint,Home Improvement Contractor,Brooklyn,11206.0,Closed,Phone,10
63598162,2025-01-02 13:05:59,2025-01-03 10:46:22,DCWP,Consumer Complaint,Car Wash,Manhattan,10026.0,Closed,Phone,0
63599085,2025-01-02 12:13:44,2025-01-03 08:44:23,DCWP,Consumer Complaint,Street Fair Vendor,Bronx,10458.0,Closed,Online,0
63599244,2025-01-02 11:24:41,2025-02-02 04:01:43,DCWP,Consumer Complaint,Tow Truck Company,Brooklyn,11215.0,Closed,Phone,30
63599586,2025-01-02 16:49:30,2025-01-22 16:23:30,DCWP,Consumer Complaint,Home Improvement Contractor,Queens,11362.0,Closed,Online,19
63599602,2025-01-02 16:08:17,2025-01-03 12:28:54,DCWP,Consumer Complaint,Supermarket or Grocery Store,Bronx,10458.0,Closed,Phone,0
63599726,2025-01-02 11:26:20,2025-02-02 04:01:43,DCWP,Consumer Complaint,Garage or Parking Lot,Manhattan,10030.0,Closed,Phone,30
63599839,2025-01-02 13:14:27,2025-01-03 10:18:51,DCWP,Consumer Complaint,Pedicab,Brooklyn,11219.0,Closed,Phone,0
63600778,2025-01-02 17:51:44,2025-01-03 12:16:05,DCWP,Consumer Complaint,Street Fair Vendor,Manhattan,10013.0,Closed,Online,0
63601098,2025-01-02 14:13:09,2025-01-22 15:37:06,DCWP,Consumer Complaint,Other Store (Non-Food),Manhattan,10022.0,Closed,Phone,20
63601179,2025-01-02 09:58:41,2025-02-02 04:01:43,DCWP,Consumer Complaint,Garage or Parking Lot,Manhattan,10032.0,Closed,Phone,30
63601518,2025-01-02 22:26:04,2025-01-03 12:22:07,DCWP,Consumer Complaint,"Bodega, Deli, or Convenience Store",Queens,11412.0,Closed,Phone,0
63601599,2025-01-02 09:23:13,2025-02-02 04:02:20,DCWP,Consumer Complaint,Third-Party Food Delivery Service,Brooklyn,11212.0,Closed,Online,30
63601735,2025-01-02 21:59:14,2025-01-03 15:21:52,DCWP,Consumer Complaint,Tobacco Sales,Brooklyn,11207.0,Closed,Phone,0
63602915,2025-01-02 13:50:21,2025-02-02 04:01:43,DCWP,Consumer Complaint,Tow Truck Company,Queens,11377.0,Closed,Online,30
63602947,2025-01-02 09:50:51,2025-01-03 12:19:08,DCWP,Consumer Complaint,Tobacco Sales,Queens,11413.0,Closed,Phone,1
63602988,2025-01-02 12:35:27,2025-02-11 12:50:16,DCWP,Consumer Complaint,Garage or Parking Lot,Manhattan,10001.0,Closed,Online,40
63603319,2025-01-02 17:53:06,2025-01-03 11:23:23,DCWP,Consumer Complaint,Supermarket or Grocery Store,Brooklyn,11233.0,Closed,Phone,0
63603519,2025-01-02 23:16:06,2025-01-03 15:33:51,DCWP,Consumer Complaint,Tobacco Sales,Manhattan,10027.0,Closed,Phone,0
63603539,2025-01-02 22:42:04,2025-01-03 09:44:39,DCWP,Consumer Complaint,Garage or Parking Lot,Queens,11691.0,Closed,Phone,0
63603582,2025-01-02 10:32:21,2025-02-02 04:01:50,DCWP,Consumer Complaint,Home Improvement Contractor,Queens,11375.0,Closed,Phone,30
63604829,2025-01-02 21:18:19,2025-01-06 16:53:26,DCWP,Consumer Complaint,"Bodega, Deli, or Convenience Store",Manhattan,10001.0,Closed,Phone,3
63605078,2025-01-02 11:36:32,2025-02-02 04:01:43,DCWP,Consumer Complaint,Garage or Parking Lot,Queens,11373.0,Closed,Online,30
63605148,2025-01-02 15:48:01,2025-01-03 08:50:24,DCWP,Consumer Complaint,Home Improvement Contractor,Queens,11378.0,Closed,Phone,0
63605446,2025-01-02 21:45:32,2025-02-02 04:02:08,DCWP,Consumer Complaint,Hotel or Motel,Manhattan,10036.0,Closed,Phone,30
63606697,2025-01-02 17:02:56,2025-02-02 04:02:00,DCWP,Consumer Complaint,Tow Truck Company,Brooklyn,11224.0,Closed,Online,30
63606741,2025-01-02 16:57:45,2025-02-02 04:01:43,DCWP,Consumer Complaint,Storage Warehouse,Brooklyn,11224.0,Closed,Phone,30
63607099,2025-01-02 09:56:09,2025-02-02 04:02:01,DCWP,Consumer Complaint,Storage Warehouse,Staten Island,10301.0,Closed,Phone,30
63607110,2025-01-02 10:06:43,2025-02-07 12:50:30,DCWP,Consumer Complaint,Home Improvement Contractor,Brooklyn,11214.0,Closed,Phone,36
63607182,2025-01-02 08:56:57,2025-01-03 10:36:54,DCWP,Consumer Complaint,Supermarket or Grocery Store,Brooklyn,11212.0,Closed,Phone,1
63607210,2025-01-02 14:17:35,2025-01-17 15:53:01,DCWP,Consumer Complaint,Department Store or Megastore,Brooklyn,11204.0,Closed,Phone,15
63608526,2025-01-02 22:38:51,2025-01-07 10:46:11,DCWP,Consumer Complaint,Pedicab,Brooklyn,11229.0,Closed,Online,4
63608547,2025-01-02 16:37:36,2025-01-03 12:13:03,DCWP,Consumer Complaint,"Gift, Novelty, or Souvenir Store",Brooklyn,11201.0,Closed,Phone,0
63608592,2025-01-02 17:04:52,2025-02-02 04:01:43,DCWP,Consumer Complaint,Travel Agency,Brooklyn,11209.0,Closed,Phone,30
63609203,2025-01-02 14:39:18,2025-02-02 04:01:43,DCWP,Consumer Complaint,Used Car Dealer,Brooklyn,11203.0,Closed,Phone,30
63610512,2025-01-03 17:36:52,2025-02-05 04:02:56,DCWP,Consumer Complaint,Furniture Store,Queens,11385.0,Closed,Phone,32
63610525,2025-01-03 20:30:07,2025-01-13 15:04:09,DCWP,Consumer Complaint,Storage Warehouse,Manhattan,10001.0,Closed,Online,9
63610939,2025-01-03 15:49:29,2025-02-05 04:02:56,DCWP,Consumer Complaint,Other Store (Non-Food),Staten Island,10301.0,Closed,Phone,32
63611157,2025-01-03 17:01:38,2025-02-05 04:02:58,DCWP,Consumer Complaint,Tow Truck Company,Queens,11417.0,Closed,Phone,32
63611761,2025-01-03 12:22:11,2025-02-05 04:02:58,DCWP,Consumer Complaint,Electronics Store,Brooklyn,11226.0,Closed,Phone,32
63612019,2025-01-03 22:42:33,2025-02-05 04:02:56,DCWP,Consumer Complaint,Third-Party Food Delivery Service,Manhattan,10016.0,Closed,Online,32
