Unique_Key,Created_Date,Closed_Date,Agency,Complaint_Type,Descriptor,Borough,Incident_Zip,Status,Open_Data_Channel_Type,Resolution_Days
63574271,2025-01-01 01:46:56,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Manhattan,10013.0,Closed,Mobile,6
63580799,2025-01-01 01:49:32,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Bronx,10451.0,Closed,Mobile,6
63583551,2025-01-01 01:02:37,2025-01-01 04:42:15,DHS,Homeless Person Assistance,,Brooklyn,11201.0,Closed,Mobile,0
63586433,2025-01-01 17:50:08,2025-04-16 03:58:09,DHS,Encampment,,Manhattan,10128.0,Closed,Online,104
63586446,2025-01-01 16:56:31,2025-01-08 06:31:49,DHS,Encampment,,Manhattan,10022.0,Closed,Online,6
63586460,2025-01-01 03:00:54,2025-01-01 04:42:48,DHS,Homeless Person Assistance,,Manhattan,10030.0,Closed,Online,0
63586819,2025-01-01 09:46:28,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Bronx,10458.0,Closed,Mobile,6
63586820,2025-01-01 14:49:21,2025-01-02 08:50:24,DHS,Homeless Person Assistance,,Manhattan,10014.0,Closed,Mobile,0
63586821,2025-01-01 08:17:27,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Manhattan,10019.0,Closed,Mobile,6
63587576,2025-01-01 08:14:25,2025-01-06 07:16:42,DHS,Encampment,,Manhattan,10011.0,Closed,Mobile,4
63587638,2025-01-01 17:27:47,2025-04-16 03:57:46,DHS,Encampment,,Manhattan,10128.0,Closed,Online,104
63587640,2025-01-01 14:22:31,2025-04-27 05:07:18,DHS,Encampment,,Manhattan,10009.0,Closed,Mobile,115
63588063,2025-01-01 09:59:23,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Manhattan,10021.0,Closed,Mobile,6
63588730,2025-01-01 10:23:10,2025-01-06 07:15:02,DHS,Encampment,,Manhattan,10011.0,Closed,Mobile,4
63588741,2025-01-01 16:29:11,2025-01-05 07:16:58,DHS,Encampment,,Queens,11375.0,Closed,Online,3
63588776,2025-01-01 14:35:16,2025-01-01 15:23:25,DHS,Homeless Person Assistance,,Manhattan,10022.0,Closed,Online,0
63588856,2025-01-01 13:05:04,2025-04-28 13:42:11,DHS,Encampment,,Manhattan,10012.0,Closed,Mobile,117
63588857,2025-01-01 13:13:28,2025-04-27 09:18:04,DHS,Encampment,,Manhattan,10069.0,Closed,Online,115
63589251,2025-01-01 02:48:28,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Manhattan,10029.0,Closed,Mobile,6
63589901,2025-01-01 16:05:39,2025-04-27 05:07:42,DHS,Encampment,,Manhattan,10009.0,Closed,Mobile,115
63590048,2025-01-01 14:23:03,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Manhattan,10001.0,Closed,Online,6
63590117,2025-01-01 12:15:48,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Manhattan,10022.0,Closed,Phone,6
63590118,2025-01-01 10:05:32,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Manhattan,10016.0,Closed,Online,6
63590569,2025-01-01 15:34:12,2025-01-01 15:45:32,DHS,Homeless Person Assistance,,Manhattan,10023.0,Closed,Mobile,0
63590587,2025-01-01 04:48:15,2025-01-01 09:05:25,DHS,Homeless Person Assistance,,Manhattan,10013.0,Closed,Mobile,0
63590588,2025-01-01 11:26:46,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Brooklyn,11201.0,Closed,Mobile,6
63590593,2025-01-01 15:24:53,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Manhattan,10029.0,Closed,Mobile,6
63591128,2025-01-01 18:20:40,2025-01-16 06:43:59,DHS,Encampment,,Manhattan,10016.0,Closed,Mobile,14
63591207,2025-01-01 16:29:54,2025-04-27 05:11:38,DHS,Encampment,,Manhattan,10009.0,Closed,Phone,115
63591803,2025-01-01 13:24:56,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Queens,11358.0,Closed,Mobile,6
63591804,2025-01-01 13:23:56,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Brooklyn,11206.0,Closed,Mobile,6
63591817,2025-01-01 12:32:45,2025-01-01 14:32:16,DHS,Homeless Person Assistance,,Manhattan,10033.0,Closed,Mobile,0
63593105,2025-01-01 08:36:27,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Manhattan,10022.0,Closed,Online,6
63593468,2025-01-01 12:44:53,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Manhattan,10037.0,Closed,Online,6
63594320,2025-01-01 12:53:43,2025-01-07 23:59:59,DHS,Homeless Person Assistance,"No closed date, I assumed they were closed at EOW.",Manhattan,10006.0,Closed,Mobile,6
63594472,2025-01-01 02:16:46,2025-01-01 04:42:36,DHS,Homeless Person Assistance,,Queens,11427.0,Closed,Phone,0
63594478,2025-01-01 15:56:11,2025-01-08 06:27:53,DHS,Encampment,,Manhattan,10022.0,Closed,Online,6
63594479,2025-01-01 10:07:24,2025-01-02 09:52:01,DHS,Encampment,,Manhattan,10016.0,Closed,Online,0
