Unique_Key,Created_Date,Closed_Date,Agency,Complaint_Type,Descriptor,Borough,Incident_Zip,Status,Open_Data_Channel_Type,Resolution_Days
63589048,2025-01-01 19:52:26,2025-02-19 11:57:54,DOE,School Maintenance,Other School Condition,Queens,11372.0,Closed,Phone,48
63597152,2025-01-02 17:49:25,2025-01-06 13:27:05,DOE,School Maintenance,Plumbing Problem,Queens,11385.0,Closed,Online,3
63597449,2025-01-02 14:53:03,2025-03-26 10:54:46,DOE,School Maintenance,Other School Condition,Brooklyn,11201.0,Closed,Online,82
63599308,2025-01-02 15:43:47,2025-02-26 12:55:35,DOE,School Maintenance,Other School Condition,Queens,11385.0,Closed,Phone,54
63604709,2025-01-02 12:15:29,2025-02-19 13:23:39,DOE,School Maintenance,Rodents/Mice,Bronx,10475.0,Closed,Online,48
63610874,2025-01-03 13:15:32,2025-01-06 13:48:27,DOE,School Maintenance,Unclean Condition,Queens,11366.0,Closed,Online,3
63612292,2025-01-04 00:17:35,2025-03-26 09:30:39,DOE,School Maintenance,Unclean Condition,Brooklyn,11226.0,Closed,Online,81
63612306,2025-01-03 18:41:32,2025-01-22 13:21:14,DOE,School Maintenance,Asbestos,Manhattan,10040.0,Closed,Phone,18
63613634,2025-01-03 12:23:37,2025-02-26 12:54:03,DOE,School Maintenance,Heating Problem,Queens,11385.0,Closed,Online,54
63620124,2025-01-03 11:14:30,2025-03-20 08:57:01,DOE,School Maintenance,Rodents/Mice,Brooklyn,11221.0,Closed,Phone,75
63644378,2025-01-05 23:34:34,2025-01-06 09:13:49,DOE,School Maintenance,Rodents/Mice,Queens,11358.0,Closed,Phone,0
63647542,2025-01-06 14:47:33,2025-02-19 11:57:12,DOE,School Maintenance,Heating Problem,Queens,11369.0,Closed,Online,43
63647555,2025-01-06 13:07:32,2026-05-18 12:33:41,DOE,School Maintenance,Heating Problem,Queens,11373.0,Closed,Online,496
63647793,2025-01-06 12:30:09,2025-03-26 14:58:25,DOE,School Maintenance,Other School Condition,Bronx,10452.0,Closed,Phone,79
63649422,2025-01-06 22:27:01,2025-01-15 15:37:44,DOE,School Maintenance,Snow/Ice,Staten Island,10309.0,Closed,Phone,8
63649572,2025-01-06 12:52:47,2025-03-26 14:57:02,DOE,School Maintenance,Plumbing Problem,Bronx,10452.0,Closed,Phone,79
63653226,2025-01-06 12:44:38,2025-01-15 09:04:21,DOE,School Maintenance,Heating Problem,Bronx,10451.0,Closed,Online,8
63653341,2025-01-06 18:58:44,2025-03-20 10:14:05,DOE,School Maintenance,Heating Problem,Brooklyn,11206.0,Closed,Online,72
63655215,2025-01-06 16:43:53,2025-03-20 10:15:36,DOE,School Maintenance,Heating Problem,Brooklyn,11206.0,Closed,Online,72
63657219,2025-01-06 19:01:26,2025-03-20 10:13:37,DOE,School Maintenance,Leaky Roof,Brooklyn,11206.0,Closed,Online,72
63657263,2025-01-06 18:56:09,2025-03-20 10:14:57,DOE,School Maintenance,Heating Problem,Brooklyn,11206.0,Closed,Online,72
63658992,2025-01-06 20:45:27,2025-01-22 13:21:45,DOE,School Maintenance,Rodents/Mice,Manhattan,10031.0,Closed,Phone,15
63659032,2025-01-06 18:59:58,2025-01-08 09:28:37,DOE,School Maintenance,Heating Problem,Queens,11691.0,Closed,Online,1
63661053,2025-01-06 09:39:19,2025-01-22 10:11:20,DOE,School Maintenance,Heating Problem,Bronx,10473.0,Closed,Phone,16
63662468,2025-01-06 14:43:16,2025-03-20 08:34:33,DOE,School Maintenance,Other School Condition,Brooklyn,11214.0,Closed,Phone,72
63663332,2025-01-07 07:51:25,2025-02-12 10:30:47,DOE,School Maintenance,Heating Problem,Queens,11106.0,Closed,Online,36
63663346,2025-01-07 18:13:54,2025-02-26 08:32:40,DOE,School Maintenance,Heating Problem,Queens,11435.0,Closed,Online,49
63665809,2025-01-07 09:48:06,2025-03-20 10:11:13,DOE,School Maintenance,Heating Problem,Brooklyn,11206.0,Closed,Online,72
63665810,2025-01-07 08:55:44,2026-05-18 12:33:46,DOE,School Maintenance,Heating Problem,Queens,11373.0,Closed,Online,496
63665811,2025-01-07 08:54:43,2026-05-18 12:33:45,DOE,School Maintenance,Heating Problem,Queens,11373.0,Closed,Online,496
