Unique_Key,Created_Date,Closed_Date,Agency,Complaint_Type,Descriptor,Borough,Incident_Zip,Status,Open_Data_Channel_Type,Resolution_Days
63572086,2025-01-01 00:51:02,2025-03-02 00:51:37,DOHMH,Smoking Or Vaping,Allowed in Smoke Free Area,Bronx,10475.0,Closed,Online,60
63575331,2025-01-01 00:08:11,2025-02-12 22:19:14,DOHMH,Smoking Or Vaping,Allowed in Smoke Free Area,Bronx,10471.0,Closed,Phone,42
63575361,2025-01-01 01:26:59,2025-01-01 01:26:59,DOHMH,Rodent,Rat Sighting,Bronx,10457.0,Closed,Mobile,0
63577242,2025-01-01 01:42:12,2025-01-02 12:49:24,DOHMH,Rodent,Signs of Rodents,Brooklyn,11216.0,Closed,Mobile,1
63578839,2025-01-01 00:15:17,2025-02-12 22:19:15,DOHMH,Smoking Or Vaping,Sign Inadequate,Bronx,10471.0,Closed,Phone,42
63580473,2025-01-01 00:43:43,2025-01-02 10:24:48,DOHMH,Rodent,Rat Sighting,Brooklyn,11237.0,Closed,Online,1
63582129,2025-01-01 01:35:39,2025-03-02 01:50:17,DOHMH,Smoking Or Vaping,Allowed in Smoke Free Area,Manhattan,10022.0,Closed,Online,60
63585630,2025-01-01 13:07:56,2025-03-02 13:34:22,DOHMH,Food Establishment,Food Contaminated,Brooklyn,11213.0,Closed,Phone,60
63585642,2025-01-01 23:32:44,2025-01-02 09:56:04,DOHMH,Indoor Air Quality,Chemical Vapors/Gases/Odors,Manhattan,10128.0,Closed,Online,0
63585644,2025-01-01 13:15:41,2025-01-01 13:15:41,DOHMH,Rodent,Rat Sighting,Manhattan,10022.0,Closed,Phone,0
63585668,2025-01-01 12:53:12,2025-01-05 18:16:23,DOHMH,Rodent,Condition Attracting Rodents,Staten Island,10314.0,Closed,Mobile,4
63585675,2025-01-01 16:20:29,2025-01-01 16:20:29,DOHMH,Unsanitary Animal Pvt Property,Dog,Queens,11368.0,Closed,Online,0
63585686,2025-01-01 22:52:54,2025-01-01 22:52:54,DOHMH,Rodent,Rat Sighting,Manhattan,10075.0,Closed,Mobile,0
63585687,2025-01-01 03:16:45,2025-01-03 15:48:49,DOHMH,Rodent,Rat Sighting,Queens,11106.0,Closed,Online,2
63585710,2025-01-01 22:49:40,2025-01-11 07:59:31,DOHMH,Food Establishment,No Permit or License,Brooklyn,11220.0,Closed,Online,9
63586886,2025-01-01 17:37:27,2025-01-11 09:06:20,DOHMH,Food Establishment,Rodents/Insects/Garbage,Staten Island,10308.0,Closed,Online,9
63586934,2025-01-01 16:17:42,2025-02-27 14:48:33,DOHMH,Food Establishment,Food Worker Hygiene,Manhattan,10019.0,Closed,Online,56
63586981,2025-01-01 15:48:03,2025-01-01 15:48:03,DOHMH,Rodent,Condition Attracting Rodents,Queens,11422.0,Closed,Online,0
63586982,2025-01-01 18:09:49,2025-01-01 18:09:49,DOHMH,Rodent,Mouse Sighting,Brooklyn,11225.0,Closed,Mobile,0
63586983,2025-01-01 23:55:08,2025-01-01 23:55:08,DOHMH,Rodent,Mouse Sighting,Bronx,10454.0,Closed,Phone,0
63587063,2025-01-01 18:53:24,2025-01-02 07:42:35,DOHMH,Rodent,Rat Sighting,Manhattan,10026.0,Closed,Mobile,0
63587065,2025-01-01 20:08:44,2025-01-01 20:08:44,DOHMH,Unleashed Dog,Unleashed Dog in Public,Bronx,10468.0,Closed,Online,0
63587066,2025-01-01 14:06:53,2025-01-11 02:40:11,DOHMH,Food Establishment,Bare Hands in Contact w/ Food,Bronx,10453.0,Closed,Phone,9
