Unique_Key,Created_Date,Closed_Date,Agency,Complaint_Type,Descriptor,Borough,Incident_Zip,Status,Open_Data_Channel_Type,Resolution_Days
63577233,2025-01-01 00:35:38,2025-06-03 16:27:28,DPR,New Tree Request,For One Address,Brooklyn,11238.0,Closed,Mobile,153
63585640,2025-01-01 23:38:52,2025-01-02 14:47:35,DPR,Damaged Tree,Entire Tree Has Fallen Down,Queens,11369.0,Closed,Phone,0
63585641,2025-01-01 19:19:01,2025-01-13 14:55:13,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,Queens,11362.0,Closed,Unknown,11
63585651,2025-01-02 00:42:14,2025-01-10 15:10:02,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,Queens,11433.0,Closed,Online,8
63585652,2025-01-01 19:16:01,2025-01-13 14:55:13,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,Queens,11362.0,Closed,Unknown,11
63585653,2025-01-01 14:53:31,2025-01-06 13:05:31,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,Queens,11694.0,Closed,Phone,4
63585671,2025-01-01 08:29:39,2025-01-06 12:27:27,DPR,Damaged Tree,Branch or Limb Has Fallen Down,Queens,11375.0,Closed,Online,5
63585672,2025-01-01 15:18:18,2025-01-03 14:34:54,DPR,Damaged Tree,Tree Leaning/Uprooted,Queens,11385.0,Closed,Mobile,1
63585691,2025-01-01 14:28:20,2025-01-30 12:04:47,DPR,Maintenance Or Facility,Garbage or Litter,Queens,11355.0,Closed,Mobile,28
63585692,2025-01-01 13:23:42,2025-01-10 13:59:52,DPR,Maintenance Or Facility,Garbage or Litter,Brooklyn,11222.0,Closed,Mobile,9
63585693,2025-01-01 12:42:38,2025-07-18 11:52:25,DPR,Maintenance Or Facility,Structure - Outdoors,Brooklyn,11218.0,Closed,Online,197
63585698,2025-01-01 18:09:15,2025-02-11 14:10:54,DPR,Maintenance Or Facility,Rodent Sighting,Queens,11104.0,Closed,Mobile,40
63585706,2025-01-01 15:41:23,2025-07-03 11:35:18,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Staten Island,10309.0,Closed,Online,182
63585707,2025-01-01 17:32:33,2025-03-17 07:59:53,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Staten Island,10305.0,Closed,Phone,74
63585979,2025-01-01 16:26:55,2025-11-06 07:39:03,DPR,Overgrown Tree/Branches,Hitting Power Lines,Queens,11362.0,Closed,Online,308
63586883,2025-01-01 17:00:28,2025-01-03 12:28:50,DPR,Damaged Tree,Branch or Limb Has Fallen Down,Queens,11385.0,Closed,Unknown,1
63586894,2025-01-01 09:57:34,2025-01-24 15:10:52,DPR,Maintenance Or Facility,Rodent Sighting,Bronx,10451.0,Closed,Mobile,23
63586931,2025-01-01 16:04:33,2025-01-02 08:22:55,DPR,Damaged Tree,Branch Cracked and Will Fall,Brooklyn,11215.0,Closed,Mobile,0
63586932,2025-01-01 19:34:23,2025-01-09 09:52:00,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,Queens,11360.0,Closed,Phone,7
63586961,2025-01-01 12:11:53,2025-01-02 13:18:43,DPR,Damaged Tree,Branch Cracked and Will Fall,Staten Island,10312.0,Closed,Online,1
63586962,2025-01-01 19:09:51,2025-01-13 14:55:13,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,Queens,11362.0,Closed,Unknown,11
63587015,2025-01-01 17:52:28,2025-03-17 12:30:42,DPR,Maintenance Or Facility,Structure - Indoors,Brooklyn,11220.0,Closed,Online,74
63587043,2025-01-01 22:10:46,2025-01-02 09:17:56,DPR,Damaged Tree,Branch or Limb Has Fallen Down,Queens,11104.0,Closed,Online,0
63587062,2025-01-01 10:34:14,2025-03-31 09:50:30,DPR,Overgrown Tree/Branches,Hitting Building,Brooklyn,11234.0,Closed,Unknown,88
63587064,2025-01-01 16:20:08,2025-02-24 15:22:51,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Queens,11354.0,Closed,Phone,53
63587124,2025-01-01 15:43:46,2025-01-10 13:59:20,DPR,Maintenance Or Facility,Broken Glass,Brooklyn,11218.0,Closed,Phone,8
63587125,2025-01-01 13:44:13,2026-07-06 13:15:20,DPR,Maintenance Or Facility,Garbage or Litter,Queens,11105.0,Closed,Mobile,550
63587776,2025-01-01 16:37:24,2025-01-14 13:29:11,DPR,Wood Pile Remaining,Remove Debris,Queens,11357.0,Closed,Unknown,12
63587884,2025-01-01 21:13:22,2025-12-01 16:04:18,DPR,Wood Pile Remaining,Remove Debris,Brooklyn,11236.0,Closed,Unknown,333
