Unique_Key,Created_Date,Closed_Date,Agency,Complaint_Type,Descriptor,Borough,Incident_Zip,Status,Open_Data_Channel_Type,Resolution_Days
63576556,2025-01-01 01:33:49,2025-03-04 09:36:54,TLC,Taxi Complaint,Driver Complaint - Non Passenger,Manhattan,10011.0,Closed,Online,62
63582296,2025-01-01 00:42:41,2025-03-21 07:43:16,TLC,Taxi Complaint,Driver Complaint - Passenger,Queens,11430.0,Closed,Phone,79
63585684,2025-01-01 16:43:55,2025-01-02 11:16:57,TLC,Lost Property,Bag/Wallet,Brooklyn,11224.0,Closed,Phone,0
63585708,2025-01-01 19:24:00,2025-01-22 07:34:06,TLC,Taxi Complaint,Driver Complaint - Passenger,Staten Island,10314.0,Closed,Phone,20
63585709,2025-01-01 02:13:12,2025-03-21 07:52:42,TLC,Taxi Complaint,Driver Complaint - Passenger,Brooklyn,11249.0,Closed,Online,79
63586435,2025-01-01 21:14:19,2025-03-28 07:03:13,TLC,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Manhattan,10018.0,Closed,Online,85
63586980,2025-01-01 19:16:11,2025-01-02 11:46:35,TLC,Lost Property,Bag/Wallet,Manhattan,10019.0,Closed,Phone,0
63587014,2025-01-01 22:53:16,2025-01-03 08:57:22,TLC,Lost Property,Other,Manhattan,10019.0,Closed,Phone,1
63587123,2025-01-01 19:09:50,2025-01-02 11:37:11,TLC,Lost Property,Bag/Wallet,Queens,11430.0,Closed,Phone,0
63587588,2025-01-01 14:19:40,2025-03-05 10:51:44,TLC,Taxi Complaint,Driver Complaint - Passenger,Queens,11369.0,Closed,Online,62
63588123,2025-01-01 04:30:05,2025-08-01 14:14:09,TLC,Taxi Complaint,Driver Complaint - Passenger,Manhattan,10123.0,Closed,Online,212
63588447,2025-01-01 18:53:04,2025-01-02 11:30:06,TLC,Lost Property,Bag/Wallet,Manhattan,10001.0,Closed,Phone,0
63588453,2025-01-02 00:24:12,2025-03-21 08:14:07,TLC,For Hire Vehicle Complaint,Driver Complaint - Passenger,Queens,11422.0,Closed,Online,78
63588714,2025-01-01 16:01:16,2025-02-18 13:56:42,TLC,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Manhattan,10003.0,Closed,Online,47
63588715,2025-01-01 16:00:28,2025-03-28 07:04:02,TLC,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Manhattan,10009.0,Closed,Online,85
63588728,2025-01-01 09:09:21,2025-05-30 18:15:58,TLC,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Manhattan,10016.0,Closed,Online,149
63588854,2025-01-01 16:02:57,2025-03-28 07:03:46,TLC,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Brooklyn,11249.0,Closed,Online,85
63589170,2025-01-01 17:43:15,2025-03-21 08:11:10,TLC,Green Taxi Complaint,Driver Complaint - Passenger,Manhattan,10039.0,Closed,Phone,78
63589362,2025-01-01 19:24:06,2025-01-02 13:14:05,TLC,Lost Property,Bag/Wallet,Manhattan,10003.0,Closed,Phone,0
63589363,2025-01-01 04:13:07,2025-01-02 10:11:38,TLC,Lost Property,Other,Manhattan,10021.0,Closed,Phone,1
63589468,2025-01-01 17:11:18,2025-02-06 07:42:54,TLC,Green Taxi Complaint,Driver Complaint - Passenger,Queens,11101.0,Closed,Phone,35
63589472,2025-01-01 02:29:34,2025-01-17 07:41:11,TLC,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Brooklyn,11222.0,Closed,Mobile,16
63589492,2025-01-01 14:47:50,2025-01-02 10:07:06,TLC,Lost Property,Bag/Wallet,Manhattan,10002.0,Closed,Phone,0
