Ticket_Count,Median,Mean,P75,P90,Max,Pct_of_DOB,Cumulative_Pct
484,2.0,40.72314049586777,40.0,138.7,621,31.07,31.07
352,12.0,61.36647727272727,105.75,183.60000000000014,360,22.59,53.66
285,63.0,121.60350877192982,200.0,337.6,620,18.29,71.95
105,0.0,6.3428571428571425,0.0,2.0,373,6.74,78.69
90,4.0,6.022222222222222,7.0,13.200000000000017,32,5.78,84.47
77,101.0,224.02597402597402,506.0,512.8,592,4.94,89.41
55,4.0,6.163636363636364,7.0,16.0,28,3.53,92.94
46,3.0,43.41304347826087,45.75,138.0,576,2.95,95.89
43,2.0,3.3255813953488373,5.0,7.0,13,2.76,98.65
15,2.0,7.066666666666666,2.5,4.799999999999999,84,0.96,99.61
5,0.0,0.0,0.0,0.0,0,0.32,99.93
1,0.0,0.0,0.0,0.0,0,0.06,99.99
