Ticket_Count,Median,Mean,P75,P90,Max,Pct_of_DOT,Cumulative_Pct
1310,1.0,1.900763358778626,1.0,2.0,367,37.73,37.73
839,0.0,3.6400476758045293,0.0,2.0,380,24.16,61.89
459,6.0,32.854030501089326,10.0,100.0,567,13.22,75.11
361,4.0,10.437673130193906,7.0,9.0,390,10.4,85.51
108,4.0,6.907407407407407,7.0,9.0,225,3.11,88.62
103,7.0,33.66019417475728,45.5,111.19999999999997,222,2.97,91.59
84,4.0,3.9404761904761907,5.0,7.700000000000003,10,2.42,94.01
70,3.0,30.757142857142856,9.0,80.30000000000007,356,2.02,96.03
46,4.0,10.91304347826087,17.25,26.0,69,1.32,97.35
45,2.0,40.28888888888889,7.0,131.40000000000003,366,1.3,98.65
26,7.5,10.115384615384615,9.0,25.5,28,0.75,99.4
13,12.0,23.923076923076923,43.0,54.60000000000001,65,0.37,99.77
3,1.0,1.3333333333333333,1.5,1.8,2,0.09,99.86
2,69.5,69.5,73.25,75.5,77,0.06,99.92
2,0.0,0.0,0.0,0.0,0,0.06,99.98
1,0.0,0.0,0.0,0.0,0,0.03,100.01
