Complaint_Type,Ticket_Count,Median,Mean,P75,P90,Max,Pct_of_DPR,Cumulative_Pct
Damaged Tree,239,2.0,15.06694560669456,6.0,14.200000000000017,581,26.61,26.61
Maintenance Or Facility,191,9.0,48.910994764397905,27.0,117.0,582,21.27,47.88
Root/Sewer/Sidewalk Condition,126,49.0,56.96825396825397,63.0,91.0,413,14.03,61.91
Overgrown Tree/Branches,100,7.5,60.47,101.75,160.50000000000006,495,11.14,73.05
Dead/Dying Tree,78,8.0,63.756410256410255,19.5,195.0999999999999,622,8.69,81.74
Animal In A Park,65,0.0,3.1538461538461537,0.0,1.0,165,7.24,88.98
Illegal Tree Damage,40,9.0,32.075,18.25,26.1,534,4.45,93.43
New Tree Request,30,147.0,148.23333333333332,149.5,152.0,153,3.34,96.77
Violation Of Park Rules,19,0.0,0.0,0.0,0.0,0,2.12,98.89
Wood Pile Remaining,8,11.0,83.125,81.0,299.4,333,0.89,99.78
Uprooted Stump,2,175.5,175.5,236.25,272.7,297,0.22,100.0
