Complaint_Type,Ticket_Count,Median,Mean,P75,P90,Max,Pct_of_DSNY,Cumulative_Pct
Dirty Condition,932,0.0,0.8444206008583691,1.0,2.0,17,19.94,19.94
Derelict Vehicles,731,0.0,0.6347469220246238,1.0,2.0,11,15.64,35.58
Illegal Dumping,642,2.0,3.9813084112149535,5.0,11.0,31,13.74,49.32
Snow Or Ice,542,1.0,1.6586715867158672,2.0,5.0,18,11.6,60.92
Graffiti,324,35.0,30.064814814814813,36.0,48.0,132,6.93,67.85
Residential Disposal Complaint,271,1.0,1.4391143911439115,1.5,4.0,11,5.8,73.65
Vendor Enforcement,258,0.0,0.0,0.0,0.0,0,5.52,79.17
Obstruction,241,1.0,2.5394190871369293,4.0,10.0,14,5.16,84.33
Dead Animal,145,1.0,3.0551724137931036,4.0,10.0,23,3.1,87.43
Missed Collection,130,4.0,5.092307692307692,7.0,13.0,30,2.78,90.21
Street Sweeping Complaint,126,3.0,5.873015873015873,10.75,15.0,37,2.7,92.91
Illegal Posting,76,2.0,2.789473684210526,3.0,5.5,19,1.63,94.54
Sanitation Worker Or Vehicle Complaint,73,3.0,5.36986301369863,8.0,12.0,21,1.56,96.1
Litter Basket Request,61,5.0,4.885245901639344,6.0,11.0,22,1.31,97.41
Commercial Disposal Complaint,46,0.0,0.34782608695652173,0.0,1.0,5,0.98,98.39
Abandoned Bike,41,5.0,4.560975609756097,6.0,9.0,14,0.88,99.27
Dumpster Complaint,27,6.0,7.37037037037037,11.0,13.400000000000002,28,0.58,99.85
Lot Condition,3,93.0,125.66666666666667,183.5,237.8,274,0.06,99.91
Litter Basket Complaint,2,0.0,0.0,0.0,0.0,0,0.04,99.95
Recycling Basket Complaint,2,5.5,5.5,5.75,5.9,6,0.04,99.99
Institution Disposal Complaint,1,2.0,2.0,2.0,2.0,2,0.02,100.01
