Complaint_Type,Ticket_Count,Median,Mean,P75,P90,Max,Pct_of_HPD,Cumulative_Pct
Heat/Hot Water,14711,1.0,1.162735368091904,2.0,2.0,8,74.35,74.35
Unsanitary Condition,1273,20.0,43.46818538884525,65.0,109.0,265,6.43,80.78
Plumbing,883,10.0,31.490373725934315,37.0,92.80000000000007,279,4.46,85.24
Door/Window,578,19.0,44.8477508650519,59.0,123.60000000000014,277,2.92,88.16
Paint/Plaster,523,9.0,32.5717017208413,37.0,92.0,272,2.64,90.8
General,420,24.0,56.42142857142857,79.0,173.4000000000001,269,2.12,92.92
Water Leak,417,14.0,39.354916067146284,52.0,116.60000000000014,252,2.11,95.03
Electric,357,7.0,33.11764705882353,42.0,115.60000000000014,272,1.8,96.83
Appliance,254,22.0,48.43307086614173,73.75,132.10000000000005,252,1.28,98.11
Flooring/Stairs,232,18.5,41.43103448275862,55.0,116.70000000000002,281,1.17,99.28
Safety,117,12.0,32.88034188034188,42.0,106.80000000000001,237,0.59,99.87
Elevator,18,23.0,60.55555555555556,56.0,240.3,255,0.09,99.96
Outside Building,4,21.5,33.25,48.5,72.80000000000001,89,0.02,99.98
