Complaint_Type,Ticket_Count,Median,Mean,P75,P90,Max,Pct_of_NYPD,Cumulative_Pct
Noise - Residential,30224,0.0,0.12119507676019058,0.0,1.0,4,61.62,61.62
Illegal Parking,9745,0.0,0.014366341713699333,0.0,0.0,4,19.87,81.49
Blocked Driveway,3297,0.0,0.025174400970579314,0.0,0.0,5,6.72,88.21
Abandoned Vehicle,1195,0.0,0.0401673640167364,0.0,0.0,7,2.44,90.65
Noise - Commercial,1058,0.0,0.001890359168241966,0.0,0.0,2,2.16,92.81
Noise - Street/Sidewalk,1054,0.0,0.0009487666034155598,0.0,0.0,1,2.15,94.96
Noise - Vehicle,472,0.0,0.01059322033898305,0.0,0.0,2,0.96,95.92
Non-Emergency Police Matter,386,0.0,0.007772020725388601,0.0,0.0,2,0.79,96.71
Drug Activity,371,0.0,0.008086253369272238,0.0,0.0,2,0.76,97.47
Encampment,321,0.0,0.006230529595015576,0.0,0.0,1,0.65,98.12
Illegal Fireworks,265,0.0,0.0,0.0,0.0,0,0.54,98.66
Animal-Abuse,207,0.0,0.04830917874396135,0.0,0.0,3,0.42,99.08
Traffic,165,0.0,0.0,0.0,0.0,0,0.34,99.42
Panhandling,162,0.0,0.0,0.0,0.0,0,0.33,99.75
Noise - House Of Worship,35,0.0,0.0,0.0,0.0,0,0.07,99.82
Noise - Park,28,0.0,0.0,0.0,0.0,0,0.06,99.88
Drinking,25,0.0,0.0,0.0,0.0,0,0.05,99.93
Graffiti,22,0.0,0.0,0.0,0.0,0,0.04,99.97
Urinating In Public,7,0.0,0.0,0.0,0.0,0,0.01,99.98
Bike/Roller/Skate Chronic,6,0.0,0.0,0.0,0.0,0,0.01,99.99
Disorderly Youth,1,0.0,0.0,0.0,0.0,0,0.0,99.99
Posting Advertisement,1,0.0,0.0,0.0,0.0,0,0.0,99.99
